開課序號,開課代碼,系所,組,年,班,全英語,MOOCS,限性別,中文課程名稱,英文課程名稱,學分,必/選,全/半,教師,地點時間,限修人數,選修人數,限修條件,備註
0966,05UG011,通識,A,,,,,,科技倫理 [ 97-105入學：數學與科學思維 ；106-108入學：哲學思維與道德推理 公民素養與社會探究  ；109起入學：社會科學 ],Technology Ethics [ Fall Semester 2017 and Before : Mathematic and Scientific Thinking ; From Fall Semester 2017 to Spring Semester 2020 : Philosophical Thinking and Moral Reasoning Citizenship and Social Inquiry  ; Fall Semester 2020 and After : Social Sciences ],2.0,通,半,劉啟民,三 6-7 本部 誠109,70,69,,
0967,05UG011,通識,B,,,,,,科技倫理 [ 97-105入學：數學與科學思維 ；106-108入學：哲學思維與道德推理 公民素養與社會探究  ；109起入學：社會科學 ],Technology Ethics [ Fall Semester 2017 and Before : Mathematic and Scientific Thinking ; From Fall Semester 2017 to Spring Semester 2020 : Philosophical Thinking and Moral Reasoning Citizenship and Social Inquiry  ; Fall Semester 2020 and After : Social Sciences ],2.0,通,半,劉啟民,三 8-9 本部 誠109,70,73,,
0968,05UG012,通識,,,,,,,科技史哲思維下的世界觀 [ 97-105入學：數學與科學思維 ；106-108入學：科學與生命  ；109起入學：自然科學 ],Worldview: An Overview of the History and Philosophy of Science [ Fall Semester 2017 and Before : Mathematic and Scientific Thinking ; From Fall Semester 2017 to Spring Semester 2020 : Science and Life  ; Fall Semester 2020 and After : Natural Sciences ],2.0,通,半,陳珍源,五 1-2 本部 誠201,90,102,,臺大、臺科大同學如欲加選本課程，請先e-mail取得教師同意，並於本校加退選階段向教師索取授權碼。
0969,05UG015,通識,,,,,,,生活中的統計 [ 97-105入學：數學與科學思維 ；106-108入學：數學與邏輯思維  ；109起入學：社會科學 ],Statistics in Daily Life [ Fall Semester 2017 and Before : Mathematic and Scientific Thinking ; From Fall Semester 2017 to Spring Semester 2020 : Mathematical and Logical Thinking  ; Fall Semester 2020 and After : Social Sciences ],2.0,通,半,林昌平,二 6-7 本部 誠109,50,55,,
0970,05UG016,通識,A,,,,,,運算思維與程式設計 [ 97-105入學：數學與科學思維 ；106-108入學：數學與邏輯思維  ；109起入學：邏輯運算 跨域專業探索課程 ],Computational Thinking and Programming [ Fall Semester 2017 and Before : Mathematic and Scientific Thinking ; From Fall Semester 2017 to Spring Semester 2020 : Mathematical and Logical Thinking  ; Fall Semester 2020 and After : Logic and Computing Cross-domain Exploration ],2.0,通,半,簡培修,二 8-9 本部 教401,50,55,,
0971,05UG016,通識,B,,,,,,運算思維與程式設計 [ 97-105入學：數學與科學思維 ；106-108入學：數學與邏輯思維  ；109起入學：邏輯運算 跨域專業探索課程 ],Computational Thinking and Programming [ Fall Semester 2017 and Before : Mathematic and Scientific Thinking ; From Fall Semester 2017 to Spring Semester 2020 : Mathematical and Logical Thinking  ; Fall Semester 2020 and After : Logic and Computing Cross-domain Exploration ],2.0,通,半,張凌倩,二 9-10 公館 理圖801,50,53,,
0972,05UG016,通識,C,,,,,,運算思維與程式設計 [ 97-105入學：數學與科學思維 ；106-108入學：數學與邏輯思維  ；109起入學：邏輯運算 跨域專業探索課程 ],Computational Thinking and Programming [ Fall Semester 2017 and Before : Mathematic and Scientific Thinking ; From Fall Semester 2017 to Spring Semester 2020 : Mathematical and Logical Thinking  ; Fall Semester 2020 and After : Logic and Computing Cross-domain Exploration ],2.0,通,半,簡培修,三 8-9 本部 教401,50,55,,
0973,05UG016,通識,D,,,,,,運算思維與程式設計 [ 97-105入學：數學與科學思維 ；106-108入學：數學與邏輯思維  ；109起入學：邏輯運算 跨域專業探索課程 ],Computational Thinking and Programming [ Fall Semester 2017 and Before : Mathematic and Scientific Thinking ; From Fall Semester 2017 to Spring Semester 2020 : Mathematical and Logical Thinking  ; Fall Semester 2020 and After : Logic and Computing Cross-domain Exploration ],2.0,通,半,蔡明男,四 6-7 本部 教401,50,58,,
0974,05UG016,通識,E,,,,,,運算思維與程式設計 [ 97-105入學：數學與科學思維 ；106-108入學：數學與邏輯思維  ；109起入學：邏輯運算 跨域專業探索課程 ],Computational Thinking and Programming [ Fall Semester 2017 and Before : Mathematic and Scientific Thinking ; From Fall Semester 2017 to Spring Semester 2020 : Mathematical and Logical Thinking  ; Fall Semester 2020 and After : Logic and Computing Cross-domain Exploration ],2.0,通,半,蔡明男,四 8-9 本部 教401,50,54,,
0975,05UG016,通識,F,,,,,,運算思維與程式設計 [ 97-105入學：數學與科學思維 ；106-108入學：數學與邏輯思維  ；109起入學：邏輯運算 跨域專業探索課程 ],Computational Thinking and Programming [ Fall Semester 2017 and Before : Mathematic and Scientific Thinking ; From Fall Semester 2017 to Spring Semester 2020 : Mathematical and Logical Thinking  ; Fall Semester 2020 and After : Logic and Computing Cross-domain Exploration ],2.0,通,半,邵森蘭,四 9-10 公館 理圖801,50,53,,
